ESUCCESS	0	Successful
EPERM	1	Not owner
ENOENT	2	No such file or directory
ESRCH	3	No such process
EINTR	4	Interrupted system call
EIO	5	I/O error
ENXIO	6	No such device or address
E2BIG	7	Arg list too long
ENOEXEC	8	Exec format error
EBADF	9	Bad file number
ECHILD	10	No children
EDEADLK	11	Operation would cause deadlock
ENOMEM	12	Not enough core
EACCES	13	Permission denied
EFAULT	14	Bad address
ENOTBLK	15	Block device required
EBUSY	16	Mount device busy
EEXIST	17	File exists
EXDEV	18	Cross-device link
ENODEV	19	No such device
ENOTDIR	20	Not a directory
EISDIR	21	Is a directory
EINVAL	22	Invalid argument
ENFILE	23	File table overflow
EMFILE	24	Too many open files
ENOTTY	25	Not a typewriter
ETXTBSY	26	Text file busy
EFBIG	27	File too large
ENOSPC	28	No space left on device
ESPIPE	29	Illegal seek
EROFS	30	Read-only file system
EMLINK	31	Too many links
EPIPE	32	Broken pipe
EDOM	33	Argument too large
ERANGE	34	Result too large
EWOULDBLOCK	35	Operation would block
EAGAIN	11	ditto
EINPROGRESS	36	Operation now in progress
EALREADY	37	Operation already in progress
ENOTSOCK	38	Socket operation on non-socket
EDESTADDRREQ	39	Destination address required
EMSGSIZE	40	Message too long
EPROTOTYPE	41	Protocol wrong type for socket
ENOPROTOOPT	42	Protocol not available
EPROTONOSUPPORT	43	Protocol not supported
ESOCKTNOSUPPORT	44	Socket type not supported
EOPNOTSUPP	45	Operation not supported on socket
EPFNOSUPPORT	46	Protocol family not supported
EAFNOSUPPORT	47	Address family not supported by protocol family
EADDRINUSE	48	Address already in use
EADDRNOTAVAIL	49	Can't assign requested address
ENETDOWN	50	Network is down
ENETUNREACH	51	Network is unreachable
ENETRESET	52	Network dropped connection on reset
ECONNABORTED	53	Software caused connection abort
ECONNRESET	54	Connection reset by peer
ENOBUFS	55	No buffer space available
EISCONN	56	Socket is already connected
ENOTCONN	57	Socket is not connected
ESHUTDOWN	58	Can't send after socket shutdown
ETOOMANYREFS	59	Too many references: can't splice
ETIMEDOUT	60	Connection timed out
ECONNREFUSED	61	Connection refused
ELOOP	62	Too many levels of symbolic links
ENAMETOOLONG	63	File name too long
EHOSTDOWN	64	Host is down
EHOSTUNREACH	65	No route to host
ENOTEMPTY	66	Directory not empty
EPROCLIM	67	Too many processes
EUSERS	68	Too many users
EDQUOT	69	Disc quota exceeded
ESTALE	70	Stale NFS file handle
EREMOTE	71	Too many levels of remote in path
EBADRPC	72	RPC struct is bad
ERPCMISMATCH	73	RPC version wrong
EPROGUNAVAIL	74	RPC prog. not avail
EPROGMISMATCH	75	Program version wrong
EPROCUNAVAIL	76	Bad procedure for program
ENOLCK	77	No locks available
ENOSYS	78	Function not implemented
EFTYPE	79	Inappropriate file type or format
ENOMSG	80	No msg matches receive request
EIDRM	81	Msg queue id has been removed
ENOSR	82	Out of STREAMS resources
ETIME	83	System call timed out
EBADMSG	84	Next message has wrong type
EPROTO	85	STREAMS protocol error
ENODATA	86	No message on stream head read q
ENOSTR	87	fd not associated with a stream
ECLONEME	88	Tells open to clone the device
EDIRTY	89	Mounting a dirty fs w/o force
EDUPPKG	90	duplicate package name on install
EVERSION	91	version number mismatch
ENOPKG	92	unresolved package name
ENOSYM	93	unresolved symbol name
ECANCELED	94	operation canceled
EFAIL	95	cannot start operation
EINPROG	97	operation (now) in progress
EMTIMERS	98	too many timers
ENOTSUP	99	function not implemented
EAIO	100	internal AIO operation complete
EMULTIHOP	101	Reserved [5]
ENOLINK	102	Reserved [5]
EOVERFLOW	103	Value too large to be stored in data type [5]
EILSEQ	116	Invalid wide character
